Data set,Publications by Subject Area
Entity,"Brazil"
Year range,2019 to 2024
Subject classification,"ASJC"
Filtered by,"Computer Science"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,12 February 2025
Date exported,20 February 2025


Subject Area,Subcategory,Scholarly Output,Scholarly Output (growth %),"Citations","Authors","Authors (growth %)","Citations per Publication",Field-weighted Citation Impact
"Computer Science",-,54664,-8.7,381933,77310,8.4,7.0,0.79
"Computer Science","Computer Science Applications",17418,17.7,155254,37257,35.7,8.9,0.88
"Computer Science","Computer Networks and Communications",13528,-8.8,74960,23954,6.7,5.5,0.74
"Computer Science","Software",12093,-14.5,91282,18608,-9.6,7.5,0.74
"Computer Science","General Computer Science",10434,-19.6,59323,19371,-17.7,5.7,0.74
"Computer Science","Artificial Intelligence",9298,-14.5,67060,16962,-4.7,7.2,0.90
"Computer Science","Information Systems",7815,-0.6,58339,15793,9.8,7.5,0.78
"Computer Science","Hardware and Architecture",5932,-4.8,43201,12510,18.9,7.3,0.86
"Computer Science","Computer Vision and Pattern Recognition",4913,16.3,23037,9528,24.3,4.7,0.57
"Computer Science","Human-Computer Interaction",4718,-2.5,19062,8865,2.7,4.0,0.53
"Computer Science","Signal Processing",4321,9.5,30699,8072,14.9,7.1,0.86
"Computer Science","Computer Science (miscellaneous)",2432,203.9,17212,6785,317.7,7.1,0.84
"Computer Science","Computational Theory and Mathematics",2280,-31.4,15003,5134,-26.9,6.6,0.74
"Computer Science","Computer Graphics and Computer-Aided Design",1917,-42.0,11426,4016,-37.5,6.0,0.68

"© 2025 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
