"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Publication Stage","Open Access","Source","EID"
"Rao G.V.E.; B. R.; Srinivasu P.N.; Ijaz M.F.; Woźniak M.","Rao, G.V. Eswara (57815228800); B., Rajitha (58632662900); Srinivasu, Parvathaneni Naga (57200093122); Ijaz, Muhammad Fazal (57189886891); Woźniak, Marcin (36195020800)","57815228800; 58632662900; 57200093122; 57189886891; 36195020800","Hybrid framework for respiratory lung diseases detection based on classical CNN and quantum classifiers from chest X-rays","2024","Biomedical Signal Processing and Control","88","","105567","","","","36","10.1016/j.bspc.2023.105567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174329402&doi=10.1016%2fj.bspc.2023.105567&partnerID=40&md5=e5b73261b7b5fb80a94ef6bdfc759b23","CSED, Motilal Nehru National Institute of Technology Allahabad, Uttar Pradesh, Prayagraj, 211004, India; Department of Computer Science and Engineering, Prasad V Potluri Siddhartha Institute of Technology, Andhra Pradesh, Vijayawada, 520007, India; Biomedical Data Analytics Research Group, Department of Teleinformatics Engineering, Federal University of Ceará, Brazil; School of IT and Engineering, Melbourne Institute of Technology, Melbourne, 3000, Australia; Faculty of Applied Mathematics, Silesian University of Technology, Kaszubska 23, Gliwice, 44100, Poland","Rao G.V.E., CSED, Motilal Nehru National Institute of Technology Allahabad, Uttar Pradesh, Prayagraj, 211004, India; B. R., CSED, Motilal Nehru National Institute of Technology Allahabad, Uttar Pradesh, Prayagraj, 211004, India; Srinivasu P.N., Department of Computer Science and Engineering, Prasad V Potluri Siddhartha Institute of Technology, Andhra Pradesh, Vijayawada, 520007, India, Biomedical Data Analytics Research Group, Department of Teleinformatics Engineering, Federal University of Ceará, Brazil; Ijaz M.F., School of IT and Engineering, Melbourne Institute of Technology, Melbourne, 3000, Australia; Woźniak M., Faculty of Applied Mathematics, Silesian University of Technology, Kaszubska 23, Gliwice, 44100, Poland","Article","Final","","Scopus","2-s2.0-85174329402"
"Figueiredo Prudencio R.; Maximo M.R.O.A.; Colombini E.L.","Figueiredo Prudencio, Rafael (59253610000); Maximo, Marcos R. O. A. (57192438548); Colombini, Esther Luna (15844865900)","59253610000; 57192438548; 15844865900","A Survey on Offline Reinforcement Learning: Taxonomy, Review, and Open Problems","2024","IEEE Transactions on Neural Networks and Learning Systems","35","8","","10237","10257","20","94","10.1109/TNNLS.2023.3250269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151559784&doi=10.1109%2fTNNLS.2023.3250269&partnerID=40&md5=989cb461410c94df1cad703f15cbcb85","Computing Institute, University of Campinas, Laboratory of Robotics and Cognitive Systems, Campinas, 13083-852, Brazil; Aeronautics Institute of Technology, Autonomous Computational Systems Laboratory, Computer Science Division, São José dos Campos, 12228-900, Brazil","Figueiredo Prudencio R., Computing Institute, University of Campinas, Laboratory of Robotics and Cognitive Systems, Campinas, 13083-852, Brazil; Maximo M.R.O.A., Aeronautics Institute of Technology, Autonomous Computational Systems Laboratory, Computer Science Division, São José dos Campos, 12228-900, Brazil; Colombini E.L., Computing Institute, University of Campinas, Laboratory of Robotics and Cognitive Systems, Campinas, 13083-852, Brazil","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85151559784"
"Shen Y.; Zhu X.; Guo Z.; Yu K.; Alfarraj O.; Leung V.C.M.; Rodrigues J.J.P.C.","Shen, Yu (7404766835); Zhu, Xiaogang (57204546994); Guo, Zhiwei (57194773275); Yu, Keping (56316023300); Alfarraj, Osama (36772742100); Leung, Victor C. M. (7102336029); Rodrigues, Joel J. P. C. (25930566300)","7404766835; 57204546994; 57194773275; 56316023300; 36772742100; 7102336029; 25930566300","A Deep-Learning-Based Data-Management Scheme for Intelligent Control of Wastewater Treatment Processes Under Resource-Constrained IoT Systems","2024","IEEE Internet of Things Journal","11","15","","25757","25770","13","32","10.1109/JIOT.2024.3388043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190351224&doi=10.1109%2fJIOT.2024.3388043&partnerID=40&md5=68bdf3f3f99a84e780e1c94c97cad5f3","Chongqing Technology and Business University, National Research Base of Intelligent Manufacturing Service, Chongqing, 400067, China; Nanchang University, School of Public Policy and Administration, Nanchang, 330047, China; Jiangxi Institute of Industrial Technology for Internet of Things, Yingtan, China; Chongqing Technology and Business University, School of Artificial Intelligence, Chongqing, 400067, China; Hosei University, Graduate School of Science and Engineering, Tokyo, 184-8584, Japan; King Saud University, Community College, Computer Science Department, Riyadh, 11437, Saudi Arabia; Artificial Intelligence Research Institute, Shenzhen MSU-BIT University, Shenzhen, 518172, China; Shenzhen University, College of Computer Science and Software Engineering, Shenzhen, 528060, China; The University of British Columbia, Department of Electrical and Computer Engineering, Vancouver, V6T 1Z4, BC, Canada; Amazonas State University, Higher School of Technology, Manaus, 69850, Brazil","Shen Y., Chongqing Technology and Business University, National Research Base of Intelligent Manufacturing Service, Chongqing, 400067, China; Zhu X., Nanchang University, School of Public Policy and Administration, Nanchang, 330047, China, Jiangxi Institute of Industrial Technology for Internet of Things, Yingtan, China; Guo Z., Chongqing Technology and Business University, School of Artificial Intelligence, Chongqing, 400067, China; Yu K., Hosei University, Graduate School of Science and Engineering, Tokyo, 184-8584, Japan; Alfarraj O., King Saud University, Community College, Computer Science Department, Riyadh, 11437, Saudi Arabia; Leung V.C.M., Artificial Intelligence Research Institute, Shenzhen MSU-BIT University, Shenzhen, 518172, China, Shenzhen University, College of Computer Science and Software Engineering, Shenzhen, 528060, China, The University of British Columbia, Department of Electrical and Computer Engineering, Vancouver, V6T 1Z4, BC, Canada; Rodrigues J.J.P.C., Amazonas State University, Higher School of Technology, Manaus, 69850, Brazil","Article","Final","","Scopus","2-s2.0-85190351224"
"Ferrag M.A.; Ndhlovu M.; Tihanyi N.; Cordeiro L.C.; Debbah M.; Lestable T.; Thandi N.S.","Ferrag, Mohamed Amine (56115001200); Ndhlovu, Mthandazo (58121898000); Tihanyi, Norbert (55791555600); Cordeiro, Lucas C. (24328704500); Debbah, Merouane (35588784300); Lestable, Thierry (8967483900); Thandi, Narinderjit Singh (58882331300)","56115001200; 58121898000; 55791555600; 24328704500; 35588784300; 8967483900; 58882331300","Revolutionizing Cyber Threat Detection with Large Language Models: A Privacy-Preserving BERT-Based Lightweight Model for IoT/IIoT Devices","2024","IEEE Access","12","","","23733","23750","17","37","10.1109/ACCESS.2024.3363469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184808429&doi=10.1109%2fACCESS.2024.3363469&partnerID=40&md5=2e93755707d1b8ec5af756a0d22ad2b7","Technology Innovation Institute, Abu Dhabi, United Arab Emirates; The University of Manchester, Department of Computer Science, Manchester, M13 9PL, United Kingdom; Federal University of Amazonas, Department of Electronics and Computing, Manaus, 69067, Brazil; Khalifa University of Science and Technology, KU 6G Research Center, Abu Dhabi, United Arab Emirates","Ferrag M.A., Technology Innovation Institute, Abu Dhabi, United Arab Emirates; Ndhlovu M., Technology Innovation Institute, Abu Dhabi, United Arab Emirates; Tihanyi N., Technology Innovation Institute, Abu Dhabi, United Arab Emirates; Cordeiro L.C., The University of Manchester, Department of Computer Science, Manchester, M13 9PL, United Kingdom, Federal University of Amazonas, Department of Electronics and Computing, Manaus, 69067, Brazil; Debbah M., Khalifa University of Science and Technology, KU 6G Research Center, Abu Dhabi, United Arab Emirates; Lestable T., Technology Innovation Institute, Abu Dhabi, United Arab Emirates; Thandi N.S., Technology Innovation Institute, Abu Dhabi, United Arab Emirates","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85184808429"
"Antonelo E.A.; Camponogara E.; Seman L.O.; Jordanou J.P.; de Souza E.R.; Hübner J.F.","Antonelo, Eric Aislan (9733132800); Camponogara, Eduardo (55921136200); Seman, Laio Oriel (55608292500); Jordanou, Jean Panaioti (57118105800); de Souza, Eduardo Rehbein (57295032800); Hübner, Jomi Fred (8703959000)","9733132800; 55921136200; 55608292500; 57118105800; 57295032800; 8703959000","Physics-informed neural nets for control of dynamical systems","2024","Neurocomputing","579","","127419","","","","29","10.1016/j.neucom.2024.127419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186491686&doi=10.1016%2fj.neucom.2024.127419&partnerID=40&md5=74770981ba9e68ba8311fbd0b9f76832","Department of Automation and Systems, Federal University of Santa Catarina, Cx.P. 476, Santa Catarina, Florianopolis, 88040-900, Brazil","Antonelo E.A., Department of Automation and Systems, Federal University of Santa Catarina, Cx.P. 476, Santa Catarina, Florianopolis, 88040-900, Brazil; Camponogara E., Department of Automation and Systems, Federal University of Santa Catarina, Cx.P. 476, Santa Catarina, Florianopolis, 88040-900, Brazil; Seman L.O., Department of Automation and Systems, Federal University of Santa Catarina, Cx.P. 476, Santa Catarina, Florianopolis, 88040-900, Brazil; Jordanou J.P., Department of Automation and Systems, Federal University of Santa Catarina, Cx.P. 476, Santa Catarina, Florianopolis, 88040-900, Brazil; de Souza E.R., Department of Automation and Systems, Federal University of Santa Catarina, Cx.P. 476, Santa Catarina, Florianopolis, 88040-900, Brazil; Hübner J.F., Department of Automation and Systems, Federal University of Santa Catarina, Cx.P. 476, Santa Catarina, Florianopolis, 88040-900, Brazil","Article","Final","","Scopus","2-s2.0-85186491686"
"Pongboonchai-Empl T.; Antony J.; Garza-Reyes J.A.; Komkowski T.; Tortorella G.L.","Pongboonchai-Empl, Tanawadee (57961370600); Antony, Jiju (7007172704); Garza-Reyes, Jose Arturo (35310169200); Komkowski, Tim (57960297800); Tortorella, Guilherme Luz (26535178500)","57961370600; 7007172704; 35310169200; 57960297800; 26535178500","Integration of Industry 4.0 technologies into Lean Six Sigma DMAIC: a systematic review","2024","Production Planning and Control","35","12","","1403","1428","25","30","10.1080/09537287.2023.2188496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150876905&doi=10.1080%2f09537287.2023.2188496&partnerID=40&md5=4aead1300410e023c7f98143b19a8f02","Edinburgh Business School, Heriot-Watt University, Edinburgh, United Kingdom; Department of Industrial and System Engineering, Khalifa University, Abu Dhabi, United Arab Emirates; Centre for Supply Chain Improvement, University of Derby, Derby, United Kingdom; Department of Management Studies, Graphic Era Deemed to be University, Dehradun, India; The University of Melbourne, Melbourne, Australia; IAE Business School, Universidad Austral, Buenos Aires, Argentina; Universidade Federal de Santa Catarina, Florianopolis, Brazil","Pongboonchai-Empl T., Edinburgh Business School, Heriot-Watt University, Edinburgh, United Kingdom; Antony J., Department of Industrial and System Engineering, Khalifa University, Abu Dhabi, United Arab Emirates; Garza-Reyes J.A., Centre for Supply Chain Improvement, University of Derby, Derby, United Kingdom, Department of Management Studies, Graphic Era Deemed to be University, Dehradun, India; Komkowski T., Edinburgh Business School, Heriot-Watt University, Edinburgh, United Kingdom; Tortorella G.L., The University of Melbourne, Melbourne, Australia, IAE Business School, Universidad Austral, Buenos Aires, Argentina, Universidade Federal de Santa Catarina, Florianopolis, Brazil","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85150876905"
"Iwendi C.; Huescas C.G.Y.; Chakraborty C.; Mohan S.","Iwendi, Celestine (54420169700); Huescas, C.G.Y. (57208414405); Chakraborty, Chinmay (7005340424); Mohan, Senthilkumar (57198791439)","54420169700; 57208414405; 7005340424; 57198791439","COVID-19 health analysis and prediction using machine learning algorithms for Mexico and Brazil patients","2024","Journal of Experimental and Theoretical Artificial Intelligence","36","3","","315","335","20","36","10.1080/0952813X.2022.2058097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129172721&doi=10.1080%2f0952813X.2022.2058097&partnerID=40&md5=1da2c5abb069e45b7a190f2afd4fefc5","School of Creative Technologies, University of Bolton, United Kingdom; Program of Microbiology, Immunology and Parasitology, Ufrgs, Porto Alegre, Brazil; Electronics and Communication Engineering, Birla Institute of Technology, Mesra, India; School of Information Technology and Engineering, Vellore Institute of Technology, Vellore, India","Iwendi C., School of Creative Technologies, University of Bolton, United Kingdom; Huescas C.G.Y., Program of Microbiology, Immunology and Parasitology, Ufrgs, Porto Alegre, Brazil; Chakraborty C., Electronics and Communication Engineering, Birla Institute of Technology, Mesra, India; Mohan S., School of Information Technology and Engineering, Vellore Institute of Technology, Vellore, India","Article","Final","","Scopus","2-s2.0-85129172721"
"Yadav S.P.; Jindal M.; Rani P.; de Albuquerque V.H.C.; dos Santos Nascimento C.; Kumar M.","Yadav, Satya Prakash (57209717559); Jindal, Muskan (57222362055); Rani, Preeti (57225387540); de Albuquerque, Victor Hugo C. (56962603300); dos Santos Nascimento, Caio (58368121000); Kumar, Manoj (57201849165)","57209717559; 57222362055; 57225387540; 56962603300; 58368121000; 57201849165","An improved deep learning-based optimal object detection system from images","2024","Multimedia Tools and Applications","83","10","","30045","30072","27","39","10.1007/s11042-023-16736-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171304441&doi=10.1007%2fs11042-023-16736-5&partnerID=40&md5=129573752e7d44bca50ef0551a8f611d","Department of Computer Science and Engineering, G.L. Bajaj Institute of Technology and Management (GLBITM), Greater Noida, 201306, India; Graduate Program in Telecommunications Engineering. (PPGET), Federal Institute of Education, Science, and Technology of Ceará (IFCE), CE, Fortaleza, Brazil; Department of Computer Science and Engineering, Amity University, Noida, 201313, India; Department of Electronics & Communication Engineering, SRM Institute of Science and Technology, Delhi-NCR Campus, Delhi-Meerut Road, Uttar Pradesh, Modinagar, Ghaziabad, India; Department of Teleinformatics Engineering, Federal University of Ceará, CE, Fortaleza, Brazil; School of Computer Sceince, FEIS, University of Wollongong in Dubai, Dubai Knowledge Park, Dubai, United Arab Emirates; MEU Research Unit, Middle East University, Amman, 11831, Jordan","Yadav S.P., Department of Computer Science and Engineering, G.L. Bajaj Institute of Technology and Management (GLBITM), Greater Noida, 201306, India, Graduate Program in Telecommunications Engineering. (PPGET), Federal Institute of Education, Science, and Technology of Ceará (IFCE), CE, Fortaleza, Brazil; Jindal M., Department of Computer Science and Engineering, Amity University, Noida, 201313, India; Rani P., Department of Electronics & Communication Engineering, SRM Institute of Science and Technology, Delhi-NCR Campus, Delhi-Meerut Road, Uttar Pradesh, Modinagar, Ghaziabad, India; de Albuquerque V.H.C., Department of Teleinformatics Engineering, Federal University of Ceará, CE, Fortaleza, Brazil; dos Santos Nascimento C., Department of Teleinformatics Engineering, Federal University of Ceará, CE, Fortaleza, Brazil; Kumar M., School of Computer Sceince, FEIS, University of Wollongong in Dubai, Dubai Knowledge Park, Dubai, United Arab Emirates, MEU Research Unit, Middle East University, Amman, 11831, Jordan","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85171304441"
"Tabim V.M.; Ayala N.F.; Frank A.G.","Tabim, Verônica Maurer (57205420596); Ayala, Néstor Fabián (55599784700); Frank, Alejandro G. (54790849500)","57205420596; 55599784700; 54790849500","Implementing Vertical Integration in the Industry 4.0 Journey: Which Factors Influence the Process of Information Systems Adoption?","2024","Information Systems Frontiers","26","5","","1615","1632","17","30","10.1007/s10796-021-10220-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118841619&doi=10.1007%2fs10796-021-10220-x&partnerID=40&md5=89d865e1a59b32c1bf3f225703a173b3","Organizational Engineering Group (Núcleo de Engenharia Organizacional – NEO), Department of Industrial Engineering, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil","Tabim V.M., Organizational Engineering Group (Núcleo de Engenharia Organizacional – NEO), Department of Industrial Engineering, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil; Ayala N.F., Organizational Engineering Group (Núcleo de Engenharia Organizacional – NEO), Department of Industrial Engineering, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil; Frank A.G., Organizational Engineering Group (Núcleo de Engenharia Organizacional – NEO), Department of Industrial Engineering, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85118841619"
"Sharma R.; Samad T.A.; Chiappetta Jabbour C.J.; de Queiroz M.J.","Sharma, Rohit (57196545771); Samad, Taab Ahmad (57218629836); Chiappetta Jabbour, Charbel Jose (15757819200); de Queiroz, Mauricio Juca (57217215576)","57196545771; 57218629836; 15757819200; 57217215576","Leveraging blockchain technology for circularity in agricultural supply chains: evidence from a fast-growing economy","2025","Journal of Enterprise Information Management","38","1","","32","67","35","32","10.1108/JEIM-02-2021-0094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115295729&doi=10.1108%2fJEIM-02-2021-0094&partnerID=40&md5=2ec30dedffd6becbe26f68ef899e1f12","Operations and Supply Chain Management, Jaipuria Institute of Management Noida, Noida, India; Operations Management, National Institute of Industrial Engineering, Mumbai, India; Indian Institute of Management Kashipur, Kashipur, India; Emlyon Business School, Écully, France; Business Administration, FIA College of Business Administration, Sao Paulo, Brazil","Sharma R., Operations and Supply Chain Management, Jaipuria Institute of Management Noida, Noida, India, Operations Management, National Institute of Industrial Engineering, Mumbai, India; Samad T.A., Indian Institute of Management Kashipur, Kashipur, India; Chiappetta Jabbour C.J., Emlyon Business School, Écully, France; de Queiroz M.J., Business Administration, FIA College of Business Administration, Sao Paulo, Brazil","Article","Final","","Scopus","2-s2.0-85115295729"
